-,+  1990 01 07    20   9
+,-  1990 01 16     9  20
-,+  1990 02 05    20  11
+,-  1990 02 16    11  15
-,+  1990 03 03    15  11
+,-  1990 03 14    11  19
-,+  1990 04 02    19   8
+,-  1990 04 10     8  21
-,+  1990 05 01    21   9
+,-  1990 05 10     9   5
-,+  1990 05 22     5  16
+,-  1990 06 07    16  16
-,+  1990 06 23    16   6
+,-  1990 06 29     6   5
-,+  1990 07 19    14   7
+,-  1990 07 26     7  19
-,+  1990 08 14    19  13
+,-  1990 08 27    13  15
-,+  1990 09 11    15  14
+,-  1990 09 25    14  15
-,+  1990 10 10    15  12
+,-  1990 10 22    12  18
-,+  1990 11 09    18   5
+,-  1990 11 20     4  14
-,+  1990 12 04    14   6
+,-  1990 12 17     4   6
-,+  1990 12 23     6   5
+,-  1991 01 04     4   4
-,+  1991 01 08     4   4
+,-  1991 01 12     4   9
+,-  1991 01 31     6   4
-,+  1991 02 04     4   4
+,-  1991 02 08     4  12
-,+  1991 02 20    12   7
+,-  1991 02 27     7  13
-,+  1991 03 12    13   6
+,-  1991 03 25     4  16
-,+  1991 04 10    16  14
+,-  1991 04 24    14  13
-,+  1991 05 07    13   5
+,-  1991 05 22     8  11
+,-  1991 06 17     4  14
-,+  1991 07 01    14  12
+,-  1991 07 13    12  19
-,+  1991 08 01    19  10
+,-  1991 08 11    10   9
-,+  1991 08 20     9   5
+,-  1991 09 08    12  12
+,-  1991 10 05    10  16
-,+  1991 11 16     4  13
+,-  1991 11 29    13  17
-,+  1991 12 16    17  10
+,-  1992 01 26    13   7
-,+  1992 02 02     7   6
+,-  1992 02 18     8  12
-,+  1992 03 01    12  17
+,-  1992 03 18    17  15
-,+  1992 04 02    15  17
+,-  1992 04 19    17   9
-,+  1992 04 28     9  13
+,-  1992 05 18     5   9
-,+  1992 05 27     9  19
+,-  1992 07 01     8   5
+,-  1992 07 27     7   9
-,+  1992 08 05     9  10
+,-  1992 08 15    10  11
-,+  1992 08 26    11  16
+,-  1992 09 11    16   4
-,+  1992 09 26     8  17
+,-  1992 10 13    17  12
-,+  1992 10 25    12  15
+,-  1992 11 09    15  13
-,+  1992 11 22    13   5
+,-  1992 12 07     7  13
-,+  1992 12 20    13  12
+,-  1993 01 01    12  10
+,-  1993 01 31     7   5
-,+  1993 02 14     7  16
+,-  1993 03 02    16  18
-,+  1993 03 20    18   7
+,-  1993 03 27     7  16
-,+  1993 04 17     4  19
+,-  1993 05 06    19   6
+,-  1993 06 03    20   7
-,+  1993 06 10     7  11
+,-  1993 06 29     6   9
-,+  1993 07 08     9  19
+,-  1993 07 27    19   9
-,+  1993 08 05     9  18
+,-  1993 08 23    18  10
-,+  1993 09 02    10  12
+,-  1993 09 22     6   7
-,+  1993 09 29     7   6
+,-  1993 10 05     6   8
-,+  1993 10 13     8   7
+,-  1993 10 20     7   7
+,-  1993 11 18    13  14
-,+  1993 12 02    14   9
-,+  1993 12 30    15  12
+,-  1994 01 11    12  15
-,+  1994 01 26    15   7
-,+  1994 02 22    15  11
+,-  1994 03 05    11  16
-,+  1994 03 21    16  12
+,-  1994 04 02    12  17
-,+  1994 04 19    17  12
+,-  1994 05 01    12  13
-,+  1994 05 14    13  14
+,-  1994 05 28    14  13
-,+  1994 06 10    13  16
+,-  1994 06 26    16  11
-,+  1994 07 07    11   4
+,-  1994 07 23    11  14
+,-  1994 08 22    14   9
+,-  1994 09 14     9  12
-,+  1994 09 26    12  17
+,-  1994 10 13    17  10
-,+  1994 10 23    10  17
+,-  1994 11 09    17  10
-,+  1994 11 19    10  17
+,-  1994 12 06    17   9
-,+  1994 12 15     9   5
+,-  1994 12 20     5   4
-,+  1994 12 24     4   9
+,-  1995 01 02     9   9
-,+  1995 01 11     9   5
+,-  1995 01 16     5   6
-,+  1995 01 22     6   7
+,-  1995 01 29     7   8
-,+  1995 02 06     8   5
+,-  1995 02 11     5   6
-,+  1995 02 17     6   9
+,-  1995 02 26     9   7
-,+  1995 03 05     7   4
+,-  1995 03 09     4   9
-,+  1995 03 18     9   8
+,-  1995 03 26     8   4
-,+  1995 03 30     4   7
+,-  1995 04 06     7   9
-,+  1995 04 15     9   4
+,-  1995 04 19     4   7
-,+  1995 04 26     7   6
+,-  1995 05 02     6  11
-,+  1995 05 13    11   4
+,-  1995 05 17     4   6
-,+  1995 05 23     6   7
+,-  1995 05 30     7   9
-,+  1995 06 08     9   6
+,-  1995 06 14     6   5
-,+  1995 06 19     5   6
+,-  1995 06 25     6   9
-,+  1995 07 04     9   6
+,-  1995 07 24    11   8
-,+  1995 08 01     8   5
+,-  1995 08 20    12   5
-,+  1995 08 25     5  21
+,-  1995 09 16    21   7
-,+  1995 09 23     7   5
+,-  1995 09 28     5   4
-,+  1995 10 02     4  16
+,-  1995 10 25     5   6
-,+  1995 10 31     6  13
+,-  1995 11 13    13   5
-,+  1995 11 18     5   4
+,-  1995 11 22     4   7
-,+  1995 11 29     7   5
+,-  1995 12 04     5   5
+,-  1995 12 20     5   4
-,+  1995 12 24     4   7
+,-  1995 12 31     7   6
-,+  1996 01 20    13   5
+,-  1996 01 25     5  21
-,+  1996 04 26    17   6
-,+  1996 05 09     5   4
+,-  1996 05 13     4  10
-,+  1996 06 05     7  10
+,-  1996 06 15    10   4
-,+  1996 06 19     4   9
+,-  1996 07 12    11   5
-,+  1996 07 17     5  21
+,-  1996 08 07    21   6
-,+  1996 08 13     6  21
+,-  1996 09 04    21   6
-,+  1996 09 10     6  19
+,-  1996 09 29    19   9
-,+  1996 10 08     9  19
+,-  1996 10 27    19   8
-,+  1996 11 04     8  20
+,-  1996 11 24    20   7
-,+  1996 12 09     6  12
-,+  1997 01 07     8  12
+,-  1997 01 19    12  16
+,-  1997 02 13     6  20
-,+  1997 03 05    20   7
+,-  1997 03 12     7   7
-,+  1997 04 12    21   4
+,-  1997 04 16     4  12
-,+  1997 05 11    11   4
+,-  1997 05 15     4   5
-,+  1997 06 12     4   7
-,+  1997 07 03     8   4
+,-  1997 07 07     4   4
-,+  1997 07 11     4  13
+,-  1997 07 24    13   6
-,+  1997 07 30     6   6
+,-  1997 08 05     6   4
-,+  1997 08 09     4  16
-,+  1997 09 09     9  14
+,-  1997 10 03     7   4
-,+  1997 10 07     4  15
+,-  1997 11 16    12  17
-,+  1997 12 03    17   4
+,-  1997 12 07     4   8
-,+  1997 12 21     4   4
+,-  1997 12 25     4   4
-,+  1997 12 29     4   8
-,+  1998 01 22    11   8
+,-  1998 01 30     8   7
-,+  1998 02 23    15   4
+,-  1998 02 27     4   6
-,+  1998 03 05     6   5
+,-  1998 03 10     5  11
-,+  1998 04 14     7  10
+,-  1998 04 24    10   7
-,+  1998 05 16    12   4
+,-  1998 05 20     4   8
-,+  1998 05 28     8   5
+,-  1998 06 02     5   9
